1172169417	s	1106	419	0	0
1172169420	d	410	280	0	0
1172169421	d	410	280	0	0
1172169433	s	1105	426	0	0
1172169481	d	410	280	0	0
1172169494	s	1106	430	0	0
1172169541	d	410	280	0	0
1172169554	s	1106	429	0	0
1172169602	d	410	280	0	0
1172169614	s	1106	428	0	0
1172169662	d	410	280	0	0
1172169674	s	1108	431	0	0
1172169722	d	410	280	0	0
1172169734	s	1107	428	0	0
1172169782	d	410	280	0	0
1172169794	s	1105	429	0	0
1172169842	d	410	280	0	0
1172169855	s	1107	430	0	0
1172169903	d	410	280	0	0
1172169915	s	1108	430	0	0
1172169963	d	410	280	0	0
1172169975	s	1106	430	0	0
1172170023	d	410	280	0	0
1172170035	s	1106	427	0	0
1172170083	d	410	280	0	0
1172170096	s	1106	426	0	0
1172170143	d	613	401	0	0
1172170147	s	1357	468	0	0
1172170149	d	613	401	0	0
1172170208	s	1360	473	0	0
1172170210	d	613	401	0	0
1172170268	s	1360	473	0	0
1172170270	d	613	403	0	0
1172170283	d	613	403	0	0
1172170284	d	613	403	0	0
1172170306	d	613	401	0	0
1172170309	d	850	389	0	0
1172170318	d	851	389	0	0
1172170319	d	851	391	0	0
1172170320	d	851	391	0	0
1172170321	d	851	389	0	0
1172170322	d	851	391	0	0
1172170323	d	851	391	0	0
1172170323	d	851	391	0	0
1172170324	d	851	390	0	0
1172170325	d	851	391	0	0
1172170326	d	851	391	0	0
1172170328	s	1359	475	0	0
1172170331	d	851	390	0	0
1172170332	d	851	391	0	0
1172170333	d	851	391	0	0
1172170334	d	851	390	0	0
1172170334	d	851	390	0	0
1172170335	d	851	391	0	0
1172170336	d	851	391	0	0
1172170337	d	851	391	0	0
1172170338	d	851	391	0	0
1172170341	s	1357	475	0	0
